company,title,location,repository,category,salary,age,url
TikTok,Machine Learning Engineer Graduate - E-Commerce Knowledge Graph - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,4d,https://lifeattiktok.com/search/7679156878833682693
TikTok,Data Engineer Graduate - Data Platform Global Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,7d,https://lifeattiktok.com/search/7678120538997098805
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Video - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,7d,https://lifeattiktok.com/search/7678145401619237173
Google,Data Engineer - Google Maps,"Mountain View, CA",2027-AI-College-Jobs,FAANG,$196k/yr,12d,https://www.google.com/about/careers/applications/jobs/results/72704944984990406
TikTok,Data Engineer Graduate - Data Platform E-commerce - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,12d,https://lifeattiktok.com/search/7676253726624024837
TikTok,Machine Learning Engineer Graduate - E-Commerce Supply Chain & Logistics - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,13d,https://lifeattiktok.com/search/7675843332462872885
TikTok,Data Engineer Graduate - Data Platform - Global Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,14d,https://lifeattiktok.com/search/7675484418022181173
TikTok,Machine Learning Engineer Graduate - E-Commerce Governance - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,18d,https://lifeattiktok.com/search/7674025781001062709
TikTok,Machine Learning Engineer Graduate - E-Commerce Governance - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,18d,https://lifeattiktok.com/search/7674023327725373701
TikTok,Data Scientist Graduate - E-Commerce Governance - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,18d,https://lifeattiktok.com/search/7674027218993154357
TikTok,Data Scientist Graduate - Multimedia - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7673672141010815237
TikTok,LLM Post-Training Engineer Graduate - Research & Product - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,19d,https://lifeattiktok.com/search/7673672141012093189
TikTok,Data Scientist - PGC - TikTok,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,20d,https://lifeattiktok.com/search/7673215338318367029
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Foundation - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,21d,https://lifeattiktok.com/search/7672880386574338309
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Mall - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,21d,https://lifeattiktok.com/search/7672915427278457141
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Mall - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,21d,https://lifeattiktok.com/search/7672911151560296709
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Foundation - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,21d,https://lifeattiktok.com/search/7672882500030138629
TikTok,AI Infra Engineer Graduate - Recommendation & LLM - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,22d,https://lifeattiktok.com/search/7672654026594093317
TikTok,Big Data Engineer Graduate - TikTok Recommendation Architecture - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,22d,https://lifeattiktok.com/search/7672518398222387461
TikTok,Machine Learning Engineer Graduate - TikTok Vertical Recommendation - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,22d,https://lifeattiktok.com/search/7672532275557583157
Google,Data Engineer - gTech Users and Products Engineering,"Boulder, CO",2027-AI-College-Jobs,FAANG,$196k/yr,26d,https://www.google.com/about/careers/applications/jobs/results/127904573342786246
TikTok,Recommendation Architecture AI/ML Infrastructure Engineer Graduate - Data-Arch-TikTok Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,27d,https://lifeattiktok.com/search/7670876337129425205
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Live - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,28d,https://lifeattiktok.com/search/7670285949553707317
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation Live - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,28d,https://lifeattiktok.com/search/7670285495593273605
TikTok,LLM Post-training Engineer Graduate - Research & Product - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,28d,https://lifeattiktok.com/search/7670285949976201477
TikTok,Data Scientist Graduate - Multimedia - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,28d,https://lifeattiktok.com/search/7670288355678177589
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation/Search Alliance - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,29d,https://lifeattiktok.com/search/7669913085331409205
TikTok,Machine Learning Engineer Graduate - E-Commerce Recommendation/Search Alliance - 2027 Start,"Seattle, WA",2027-AI-College-Jobs,FAANG,$202k/yr,29d,https://lifeattiktok.com/search/7669910326745434421
TikTok,General Hire Research Scientist Graduate - TikTok Recommendation - 2027 Start,"San Jose, CA",2027-AI-College-Jobs,FAANG,$202k/yr,47d,https://lifeattiktok.com/search/7663389956951918853
NVIDIA,Research Scientist - Electronic Design Automation - New College Grad 2026,"Santa Clara, CA",2027-AI-College-Jobs,FAANG,$172k/yr,91d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Research-Scientist--Electronic-Design-Automation---New-College-Grad-2026_JR2012979
Citadel,Quantitative Research Analyst - University Graduate - US,"Miami, FL +1",2027-AI-College-Jobs,Finance,$338k/yr,49d,https://www.citadel.com/careers/details/quantitative-research-analyst-university-graduate-us/
Citadel,Quantitative Trader: Equity Quantitative Research - University Graduate - US,"New York City, NY",2027-AI-College-Jobs,Finance,$338k/yr,49d,https://www.citadel.com/careers/details/quantitative-trader-equity-quantitative-research-university-graduate-us/
Citadel Securities,Quantitative Trader - University Graduate - US - New York,"New York City, NY",2027-AI-College-Jobs,Finance,$338k/yr,49d,https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us-new-york/
Citadel Securities,Quantitative Trader - University Graduate - US - Miami,"Miami, FL",2027-AI-College-Jobs,Finance,$338k/yr,49d,https://www.citadelsecurities.com/careers/details/quantitative-trader-university-graduate-us-miami/
Five Rings,Campus Full Time 2027 - Quantitative Trader,"New York City, NY",2027-AI-College-Jobs,Finance,$381k/yr,49d,https://job-boards.greenhouse.io/fiveringsllc/jobs/5255334008
Arrowstreet Capital,Quantitative Researcher,"Boston, MA",2027-AI-College-Jobs,Finance,$208k/yr,55d,https://arrowstreetcapital.wd5.myworkdayjobs.com/en-US/arrowstreet/job/Boston/Quantitative-Researcher_R1066-3
Emory University,Data Analyst - Rollins School of Public Health,"Atlanta, GA",2027-AI-College-Jobs,Other,,0d,https://staff-emory.icims.com/jobs/172728/data-analyst---rollins-school-of-public-health/job
ERG,Environmental Data Analyst - EOH Group,"Concord, MA +3",2027-AI-College-Jobs,Other,"$55,000 - $75,000",0d,https://jobs.lever.co/erg/d946c3de-cdf2-4fd1-842d-af17dfd886c0
M9 Solutions,Jr. Federal AI Engineer,"Ft. Belvoir, VA",2027-AI-College-Jobs,Other,"$100,000 - $115,000   USD",0d,https://job-boards.greenhouse.io/m9solutions/jobs/5227236007
Oak View Group,Data Analytics Coordinator - Part-Time - Benchmark International Arena,"Tampa, FL",2027-AI-College-Jobs,Other,$25.00 - $26.90,0d,https://careers-ovg.icims.com/jobs/34407/data-analytics-coordinator-%7c-part-time-%7c-benchmark-international-arena/job
Apex Fintech Solutions,Data Analyst - Tax & Cost Basis,"Austin, TX",2027-AI-College-Jobs,Other,"$66,000 - $82,500",1d,https://peak6group.wd1.myworkdayjobs.com/en-US/apexfintechsolutions/job/NYC-441/Data-Analyst--Tax---Cost-Basis-_JR105122
Booz Allen,Data Scientist - Junior,"McLean, VA",2027-AI-College-Jobs,Other,"$62,000.00 - $141,000.00",1d,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/McLean-VA/Data-Scientist--Junior_R0248402
Corpay,Data Analyst II - Vendor Success,"Peachtree Corners, GA",2027-AI-College-Jobs,Other,,1d,https://jobs.dayforcehcm.com/en-US/corpay/candidateportal/jobs/56510
Creative Artists Agency,Jr. Data Scientist,"Los Angeles, CA",2027-AI-College-Jobs,Other,"$86,000 - $94,000",1d,https://caa.wd1.myworkdayjobs.com/en-US/careers/job/Los-Angeles-CA/Jr-Data-Scientist_JR9171
DaVita Kidney Care,Data Analyst - Clinical Analytics and Reporting,"Remote - Denver, CO",2027-AI-College-Jobs,Other,"$57,784.00 - $85,000.00",1d,https://davita.wd1.myworkdayjobs.com/en-US/dkc_external/job/09567---Denver-HQ-Non-CA-or-CO-Remote/Data-Analyst--Clinical-Analytics-and-Reporting_R0472175
